date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:29:44	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2017%20Sep%202022%2000:29:44%20GMT	https://trongrace.space/robots.txt		(from )
19:29:44	50043/50043	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20Aug%202022%2018:17:23%20GMT	https://trongrace.space/	C:/Users/17859/Desktop/TopG/trongrace.space/index.html	(from )
19:29:44	12464/12464	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Jul%202021%2014:52:16%20GMT	https://trongrace.space/apple-touch-icon.png	C:/Users/17859/Desktop/TopG/trongrace.space/apple-touch-icon.png	(from https://trongrace.space/)
19:29:45	1300/1300	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Sep%202021%2022:05:06%20GMT	https://trongrace.space/favicon-32x32.png	C:/Users/17859/Desktop/TopG/trongrace.space/favicon-32x32.png	(from https://trongrace.space/)
19:29:45	1300/1300	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Sep%202021%2022:05:06%20GMT	https://trongrace.space/favicon-16x16.png	C:/Users/17859/Desktop/TopG/trongrace.space/favicon-16x16.png	(from https://trongrace.space/)
19:29:45	426/426	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2014:52:16%20GMT	https://trongrace.space/site.html	C:/Users/17859/Desktop/TopG/trongrace.space/site.html	(from https://trongrace.space/)
19:29:45	10581/10581	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2028%20Jul%202021%2014:52:16%20GMT	https://trongrace.space/safari-pinned-tab.svg	C:/Users/17859/Desktop/TopG/trongrace.space/safari-pinned-tab.svg	(from https://trongrace.space/)
19:29:45	56767/56767	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Sep%202021%2021:54:36%20GMT	https://trongrace.space/assets/css/style532d.css?v=1626369180	C:/Users/17859/Desktop/TopG/trongrace.space/assets/css/style532d532d.css	(from https://trongrace.space/)
19:29:46	89729/89729	---MCZ	200	added ('OK')	text/css	etag:W/%2215e81-wb0UGHttyzbvrSHlFxH4lBgB3g8%22	https://maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	C:/Users/17859/Desktop/TopG/maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	(from https://trongrace.space/)
19:29:46	160403/160403	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:10%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.5.0/css/bootstrap.min.css	C:/Users/17859/Desktop/TopG/stackpath.bootstrapcdn.com/bootstrap/4.5.0/css/bootstrap.min.css	(from https://trongrace.space/)
19:29:47	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-15d84%22	https://code.jquery.com/jquery-3.5.1.min.js	C:/Users/17859/Desktop/TopG/code.jquery.com/jquery-3.5.1.min.js	(from https://trongrace.space/)
19:29:47	60174/60174	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:10%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.5.0/js/bootstrap.min.js	C:/Users/17859/Desktop/TopG/stackpath.bootstrapcdn.com/bootstrap/4.5.0/js/bootstrap.min.js	(from https://trongrace.space/)
19:29:47	718/718	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Jul%202021%2014:52:16%20GMT	https://trongrace.space/assets/img/tronicon.png	C:/Users/17859/Desktop/TopG/trongrace.space/assets/img/tronicon.png	(from https://trongrace.space/)
19:29:47	1877/1877	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Aug%202021%2022:44:16%20GMT	https://trongrace.space/assets/img/icon/item-1.png	C:/Users/17859/Desktop/TopG/trongrace.space/assets/img/icon/item-1.png	(from https://trongrace.space/)
19:29:47	1733/1733	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Aug%202021%2022:44:16%20GMT	https://trongrace.space/assets/img/item-2.png	C:/Users/17859/Desktop/TopG/trongrace.space/assets/img/item-2.png	(from https://trongrace.space/)
19:29:48	1444/1444	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Aug%202021%2018:18:06%20GMT	https://trongrace.space/assets/img/icon/item-3.png	C:/Users/17859/Desktop/TopG/trongrace.space/assets/img/icon/item-3.png	(from https://trongrace.space/)
19:29:48	1792/1792	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Aug%202021%2022:44:16%20GMT	https://trongrace.space/assets/img/icon/signal.png	C:/Users/17859/Desktop/TopG/trongrace.space/assets/img/icon/signal.png	(from https://trongrace.space/)
19:29:48	485/485	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Jul%202021%2014:52:16%20GMT	https://trongrace.space/assets/img/user%20(6).png	C:/Users/17859/Desktop/TopG/trongrace.space/assets/img/user%20(6).png	(from https://trongrace.space/)
19:29:48	50043/50043	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20Aug%202022%2018:17:23%20GMT	https://trongrace.space/index.html	C:/Users/17859/Desktop/TopG/trongrace.space/index-2.html	(from https://trongrace.space/)
19:29:48	4883/4883	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Sep%202021%2022:03:28%20GMT	https://trongrace.space/assets/img/logo-footer.png	C:/Users/17859/Desktop/TopG/trongrace.space/assets/img/logo-footer.png	(from https://trongrace.space/)
19:29:49	101699/101699	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Sep%202021%2022:00:24%20GMT	https://trongrace.space/assets/img/video.png	C:/Users/17859/Desktop/TopG/trongrace.space/assets/img/video.png	(from https://trongrace.space/)
